title,company,location,link
Commodities MNC: Finance Data Specialist- Accounting Process (Python / SQL / VBA),THE RESOLUTE HUNTER PTE. LTD.,Islandwide,https://www.mycareersfuture.gov.sg/job/accounting/commodities-mnc-finance-data-specialist-accounting-process-resolute-hunter-e1b9e88cebfd10c0089e3d3317d6425d?source=MCF&event=Search
Software Developer (Python),FINSURGE PTE. LTD.,East,https://www.mycareersfuture.gov.sg/job/banking-finance/software-developer-finsurge-f728827a0dd200d9400a1a9acbfb684b?source=MCF&event=Search
"Senior Software Specialist (Full Stack - Python,AWS & React) (PRIT",PERSOLKELLY SINGAPORE PTE. LTD.,Central,https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-specialist-prit-persolkelly-singapore-1a9025bb17e8ed4eae504246aa47f412?source=MCF&event=SuggestedJob
Python /  ReactJS Developer,JONDAVIDSON PTE. LTD.,Central,https://www.mycareersfuture.gov.sg/job/information-technology/python-reactjs-developer-jondavidson-e675815fd7a14cd47885df481ffa1848?source=MCF&event=Search
"Website Developer (Vue, Django, Python, Javascript)",TALENTSIS PTE. LTD.,Central,https://www.mycareersfuture.gov.sg/job/information-technology/website-developer-talentsis-ce0aedd20f20ee73ab0802b624c570cd?source=MCF&event=Search
"DevOps Engineer[Central / Cloud / Container environments / AWS, GCP, and Linux / UNIX maintenance / Ansible, Terraform, Prometheus, Grafana / Python, Golang / large-scale containerized systems or automation tools]",LINKEDCORP HR CONSULTANCY PTE. LTD.,Central,https://www.mycareersfuture.gov.sg/job/engineering/devops-engineercentral-cloud-container-environments-aws-gcp-linux-unix-maintenance-ansible-terraform-prometheus-grafana-python-golang-large-scale-containerized-systems-automation-tools-linkedcorp-hr-consultancy-df0cbc335f372008b5270526e5f8a53a?source=MCF&event=Search
Python Developer,ELLIOTT MOSS CONSULTING PTE. LTD.,East,https://www.mycareersfuture.gov.sg/job/information-technology/python-developer-elliott-moss-consulting-b5d9fbb2a24622f6b508f084a8a822cd?source=MCF&event=Search
"Web Developer (Vue, Django, Python) [Macpherson]",TALENTSIS PTE. LTD.,Islandwide,https://www.mycareersfuture.gov.sg/job/engineering/web-developer-macpherson-talentsis-3599b591538908c087db72de0575b926?source=MCF&event=Search
"Senior Data Engineer (Python, Azure)",PERSOLKELLY SINGAPORE PTE. LTD.,Central,https://www.mycareersfuture.gov.sg/job/information-technology/senior-data-engineer-persolkelly-singapore-0db3d0657a22fc10d45257f6b79b9814?source=MCF&event=Search
Senior Software Engineer (Python Web Development),EPAM SYSTEMS PTE. LTD.,Islandwide,https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-epam-systems-365d9f5134c019da644265d051266011?source=MCF&event=Search
Fullstack Web Engineer (Python  Focus),AGAPE CP HOLDINGS PTE. LTD.,,https://www.mycareersfuture.gov.sg/job/information-technology/fullstack-web-engineer-agape-cp-holdings-9fb57b257f35c469c302bbd8d96f4667?source=MCF&event=Search
DevOps / SRE with Python,PERCEPT SOLUTIONS PTE. LTD.,Islandwide,https://www.mycareersfuture.gov.sg/job/information-technology/devops-sre-python-percept-solutions-e419c31207620426890bab3440c606ab?source=MCF&event=Search
"Senior Software Engineer (Java, J2EE,C++, Python,C# ) /  Full Stack Java",STAR CAREER CONSULTING PTE. LTD.,Islandwide,https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-full-stack-java-star-career-consulting-1f94f71df9663ecaba37cd5637b3f008?source=MCF&event=Search
Head of IT  /  CTO  /  IT Director - Application  /  Python & Infra,RANDSTAD PTE. LIMITED,Central,https://www.mycareersfuture.gov.sg/job/information-technology/head-cto-director-application-python-infra-randstad-6409436b103806ab60af9924ebfa3054?source=MCF&event=SuggestedJob
Python Developer,TECHNOPALS CONSULTANTS PTE. LTD.,West,https://www.mycareersfuture.gov.sg/job/information-technology/python-developer-technopals-consultants-397b66e0fa95f3bae4d0cf9f961d3568?source=MCF&event=Search
Python Developer,TECHNOPALS PTE. LTD.,West,https://www.mycareersfuture.gov.sg/job/information-technology/python-developer-technopals-8cdbcc9a7a9e9e76965b752fb4eee97a?source=MCF&event=Search
Python Developer,NEARSOURCE PTE. LTD.,West,https://www.mycareersfuture.gov.sg/job/information-technology/python-developer-nearsource-46a4739ef98690c38c5f26fef3ca5972?source=MCF&event=Search
Junior Robotics Engineer â€“ Python / C++ / Rust (6-Month Contract),PERCEPT SOLUTIONS PTE. LTD.,Islandwide,https://www.mycareersfuture.gov.sg/job/information-technology/junior-robotics-engineer-%E2%80%93-python-c-rust-percept-solutions-a41bdb20ecf1fd4152f5df48335d0968?source=MCF&event=Search
"Embedded Engineer, Python, Jenkins, CICD Pipeline, Hybrid",ADECCO PERSONNEL PTE LTD,Central,https://www.mycareersfuture.gov.sg/job/information-technology/embedded-engineer-python-jenkins-cicd-pipeline-hybrid-adecco-personnel-d7eb6f58345675d6e3447090a85a416f?source=MCF&event=Search
Lead Software Engineer (Python),WORLDQUANT (SINGAPORE) PTE. LTD.,Central,https://www.mycareersfuture.gov.sg/job/information-technology/lead-software-engineer-worldquant-83b44213133649110b77281abc2289e5?source=MCF&event=Search
Python Developer,MINDLAB TUITION CENTRE PTE. LTD.,Central,https://www.mycareersfuture.gov.sg/job/education-training/python-developer-mindlab-tuition-centre-be6661462f3923bb033643860e5adae0?source=MCF&event=Search
Python Developer,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Central,https://www.mycareersfuture.gov.sg/job/information-technology/python-developer-manpower-staffing-services-f5826988d5894b36bd838e9e71f1ced5?source=MCF&event=Search
